size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
262144,594626.836104837,1204566,1,0,544,,,945,134206,1779,135985
262144,594626.836239930,1204568,0,1,433,,,967,46682,1636,48318
262144,594626.836247227,1204566,1,0,382,,,844,11021,1391,12412
262144,594626.836258710,1204568,0,1,495,,,1037,27820,1718,29538
262144,594626.836266356,1204566,1,0,402,,,878,11315,1443,12758
262144,594626.836278071,1204568,0,1,683,,,913,8403,1774,10177
262144,594626.836287133,1204566,1,0,692,,,1639,9808,2516,12324
262144,594626.836304340,1204568,0,1,,,734,302,9397,1332,10729
262144,594626.836314723,1204566,1,0,,,510,329,42026,1171,43197
262144,594626.836320993,1204568,0,1,173,741,843,565,9317,2322,11639
262144,594626.836332184,1204566,1,0,233,755,881,424,23443,2293,25736
262144,594626.836339425,1204568,0,1,188,709,651,444,9542,1992,11534
262144,594626.836350403,1204566,1,0,228,731,728,486,5344,2173,7517
262144,594626.836357522,1204568,0,1,160,730,660,372,8911,1922,10833
262144,594626.836373485,1204566,1,0,189,757,709,399,9858,2054,11912
262144,594626.836384789,1204568,0,1,348,733,716,391,41240,2188,43428
262144,594626.836391838,1204566,1,0,195,717,627,396,9478,1935,11413
262144,594626.836402682,1204568,0,1,223,775,675,611,23251,2284,25535
262144,594626.836409901,1204566,1,0,162,715,703,398,9291,1978,11269
262144,594626.836420730,1204568,0,1,186,730,626,527,5418,2069,7487
262144,594626.836427758,1204566,1,0,186,718,635,423,9197,1962,11159
